"Post ID", "Forum","Forum Url","Tags","Tags Url","Poster Name","Poster Url","Number of Posts","Message","Subject","Subject Url","Views","Rating","Date","Time","Price","Sentiment","Disclosure"
"18283919","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","WLD","WLD","chris1983","http://hotcopper.com.au/search/search?type=post&users=chris1983","8233","I don't follow technicals too heavily but I'll watch it.  Had the same comments being thrown about on the A2M thread saying the stock was coming back to a dollar..gap to be filled rah rah rah.30 cents values the stock at 120 million.  25 cents values the stock at 100 million.23 million net profit on the lower end of the forecast.  I'll be buying more if it went that low.","Re: Accumulation","http://hotcopper.com.au/threads/accumulation.2813237/page-8?post_id=18283919","622","","16/07/16","00:54:09","38.5¢","Buy","Held"
"18283921","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","DKO","DKO","You3OAte","http://hotcopper.com.au/search/search?type=post&users=You3OAte","195","Excellent post Danzas. I don't agree with some of what you say but I like your logic. Thanks for your time. Cheers.","Re: Ann: Phase Two Drill Results- Further High Grades From Lynas Find-DKO.AX","http://hotcopper.com.au/threads/ann-phase-two-drill-results-further-high-grades-from-lynas-find-dko-ax.2812900/page-85?post_id=18283921","18601","1","16/07/16","00:55:06","6.7¢","Hold","Held"
"18283918","Philosophy & Religion","http://hotcopper.com.au/discussions/philosophy---religion/","","","wotsup","http://hotcopper.com.au/search/search?type=post&users=wotsup","780","","Re: Hell -just another myth?","http://hotcopper.com.au/threads/hell-just-another-myth.2798683/page-74?post_id=18283918","2382","","16/07/16","00:54:05","","",""
"18283924","Political Debate","http://hotcopper.com.au/discussions/politics/","","","Lapdog","http://hotcopper.com.au/search/search?type=post&users=Lapdog","15769","Troopy1 Tony Abbott's volunteer work has previously been debated at depth on this forum.It revealed that although some of it is to his credit some of it was little more than self-serving media opportunities.Indeed relative to many Australians such as the carers of people with disabilities; he's no star at all. Sadly Abbott even found himself embarrassed into repaying some expenses claimed against some of his activities.","Re: Abbott warns of 'creative' homegrown terrorism","http://hotcopper.com.au/threads/abbott-warns-of-creative-homegrown-terrorism.2813444/page-34?post_id=18283924","1704","2","16/07/16","00:55:27","","",""
"18283922","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","AYB","AYB","R08","http://hotcopper.com.au/search/search?type=post&users=R08","997","Never got the Rubik's....My cat loves milk.....she is of a Siamese breed.","Re: Ann: FRESH MILK FOR FIJI-AYB.AX","http://hotcopper.com.au/threads/ann-fresh-milk-for-fiji-ayb-ax.2812966/page-23?post_id=18283922","872","","16/07/16","00:55:12","2.9¢","Hold","Held"
"18283925","Humour","http://hotcopper.com.au/discussions/humour/","","","ozexplorer","http://hotcopper.com.au/search/search?type=post&users=ozexplorer","7855","Looks like a couple of the girls down the club on Karaoke and disco night....","Re: Exclusive photo of martis checking dow futures","http://hotcopper.com.au/threads/exclusive-photo-of-martis-checking-dow-futures.2812746/page-10?post_id=18283925","624","","16/07/16","00:55:41","","",""
"18283920","Political Debate","http://hotcopper.com.au/discussions/politics/","","","sparassid","http://hotcopper.com.au/search/search?type=post&users=sparassid","570","Well let's hope not eh? Then again they weren't all that relevant in the last parliament since they were usurped for the crossbench by the last slightly-less-freakshow Senate squad.","Re: Great News. Greens could lose 3 senators","http://hotcopper.com.au/threads/great-news-greens-could-lose-3-senators.2811213/page-57?post_id=18283920","3083","","16/07/16","00:54:45","","",""
"18283926","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","WKT","WKT","Croc-file","http://hotcopper.com.au/search/search?type=post&users=Croc-file","169","Since Walkabout Resourses introduction in to graphite they mapped out a plan with a clear focus of what was achievable for Walkabout Resourses.Some elements of a successful business plan were to establish low riskearly cash flow objective because it can be fast-tracked with minimal capital or opex risk.The mine can be commenced with a mining License instead of a Special Mining License which is much more onerous.Key to this objective was to locate high grade ore close to surface port accessinfrastructure and stable government.From the inferred resourse which is now being in-filled to expand the potential and upgraded to indicated and measured in some parts.The pre-feasabilty plan can then be achieved but not bankable.This is a high grade resourse but modest in size in comparison to others.The domain 2 should be able to sustain a 10 year mine life on its own and can marketed for a discrete package based on 25000Tpa.Mining license which is less onerous is a development under 10 years and $100000000 in capex cost.It also restricts your footprint to under 10 squared Km's.The down side to this is that it then needs to be renegotiated at the 10 year call and government may play hard ball.Walkabout as per regulations are unable to provide (ROM) run of mine cost at this stage until proper more conclusive evidence is available.It has been able to report that it has Robust economics that others will not see due to small operation modular plant operation higher feed grades with exceptional flake quality and distribution and close to surface operation.All elements of the original blue print for a low cost operation fast tracked for April 2017 operation have so far been identified.A recent oversubscibed cash raise with directors adding more skin into the game in lieu of income indicates belief in the project.From early results to today it can be shown that with the optimisation process and attrition program that quality results are being achieved.The refinement and process of fact collecting is adding to the price of our basket priceand with our product now being sent to the USA for amenabilty test work sound of promise.Results dueJuly/August and if favourable results transition this one just might come with a fire cracker!","Strategy Business Model","http://hotcopper.com.au/threads/strategy-business-model.2813526/?post_id=18283926","43","3","16/07/16","00:57:05","0.6¢","Buy","Held"
"18283927","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","LYC","LYC","Steinberger","http://hotcopper.com.au/search/search?type=post&users=Steinberger","86","A dead cat bounce can only happen once....if it bounces more often it is not a dead cat!!!!CheersSb","Re: Possible Dead Cat Bounce?","http://hotcopper.com.au/threads/possible-dead-cat-bounce.2808012/page-33?post_id=18283927","4970","2","16/07/16","00:57:16","7.6¢","Buy","Held"
"18283929","Breaking News","http://hotcopper.com.au/discussions/breaking-news/","","","sr20desr20de","http://hotcopper.com.au/search/search?type=post&users=sr20desr20de","500","Note the analysis about Australia's position.","Re: Putin warns about nuclear ww3","http://hotcopper.com.au/threads/putin-warns-about-nuclear-ww3.2809278/page-52?post_id=18283929","4105","","16/07/16","00:57:42","","",""
"18283928","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","NXR","NXR","FullMoonFever","http://hotcopper.com.au/search/search?type=post&users=FullMoonFever","3082","So a quick 45 mins digging around on our newest addition for anyone interested.Whilst not exhaustive by any stretch some info / thoughts to get any of you started if bothered otherwise I may have a deeper dig around as time permits. Curious bugger that I amNo cross promo here but common threads linking entities from a holder point of view...may even see a similar vibe to the Dir description - though QBL Ann has a little more detail. No real up to date info found.....yetCouple of interesting things though...whilst CBTIC became a sub holder last yr in this particular stock I have not found any changes to its holding (subsequent Sub Notices) yet it is not listed on later docs / pressos? CBTIC is now apparently deregistered (Feb 16 ish) from what I can see - wonder if any assets were shifted around or it just became another entity? Don't know yet.There also appears to be a common name floating around between our T20's...also another common surname on the Sub Notice...I wonder?....maybe the connections are related strategic or just a coincidence?No conclusions here or any aspersions...just some digging and word linking starting with this first article that got me started...have a nice weekend holders (or should that be captives...maybe soon to be released....)NXR & QBL T20's last yr from Ann Reports...NXRQBLCBTIC - Yongjin Li QBL spiel....gotta be one and the same you would think?Sub notice and Dir sign off.Oct 2015 Presso - QBL. No CBTIC?","Re: Ann: Company Update and Director Appointment-NXR.AX","http://hotcopper.com.au/threads/ann-company-update-and-director-appointment-nxr-ax.2813408/page-11?post_id=18283928","712","1","16/07/16","00:57:31","2.0¢","Hold","Held"
"18283812","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","KBL","KBL","genthree","http://hotcopper.com.au/search/search?type=post&users=genthree","160","good to see a couple of newbies on board.I think this company is very vulnerable because of its low market cap - 7m -  it has good assets but needs to get the cash flow happening which is starting to happen.I see a couple of the major shareholders who worry me. I would not name the one but they played a significant roll on the takeover of UML (no longer quoted) this was originally BDG (no longer quoted).Google these two and learn a bit of history.I don't say anything negative about people or companies because that is inviting sanction.Anyway I am in you are in lets hope we all come out the other end smiling......","Re: fantastic  announcement","http://hotcopper.com.au/threads/fantastic-announcement.2811751/page-32?post_id=18283812","5865","","16/07/16","00:04:35","0.7¢","Hold","Held"
"18283813","Breaking News","http://hotcopper.com.au/discussions/breaking-news/","","","drones","http://hotcopper.com.au/search/search?type=post&users=drones","132","What if Saudia Arabia does not want to accept a US citizens with no ties to that country (other than being a Muslim)?","Re: Newt Gingrich  deport muslims who believe in sharia law ","http://hotcopper.com.au/threads/newt-gingrich-deport-muslims-who-believe-in-sharia-law.2813494/page-9?post_id=18283813","412","2","16/07/16","00:04:55","","",""
"18283814","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","AYB","AYB","Amused observer","http://hotcopper.com.au/search/search?type=post&users=Amused+observer","4941","OK got it.These guys could have even been better off ponying up with FTZ and being the sole AU and possibly NZ distributor for rock phosphate fertilizer...at least it is in Paul's realm of experience. Also given the Chatham Rise Project in New Zealand got sunk a couple of years ago there is a gap in our market here for rock phosphate as an organic alternative to super phosphates which are tough on the land over time.If they really got serious about protein improvement and environmental benefits they could also go and talk to Fodder King about export hay and lucerne.Combine these two and they would have the ethical and environmental investment communities all over them with wads of cash will to invest let alone the mainstream investment community.Ah well that took 5 minutes to think through and post. Wonder how much effort they have really put in to it all on behalf of their fellow shareholders.","Re: Ann: FRESH MILK FOR FIJI-AYB.AX","http://hotcopper.com.au/threads/ann-fresh-milk-for-fiji-ayb-ax.2812966/page-20?post_id=18283814","872","1","16/07/16","00:05:20","2.9¢","None","Not Held"
"18283815","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","PSZ","PSZ","sMiRK","http://hotcopper.com.au/search/search?type=post&users=sMiRK","103","Sorry ggg555 you are missing the nasty surprise hidden behind the reports. I bought in at an average price of about 50c so the share price had no hope from then. Should have warned everyone when I did it but it seemed reasonable at the time. Good recommendation from various newsletters. Etc. Etc. Kiss of death stuff as it turned out.Anyway I hold for now. There does not seem to be anything in the books yet to justify the current low price but the price did drop below some newsletter stop losses a while back so there would have been some selling from that. I believe price is forming a floor at around 40c but my saying that probably means its curtains from here. I'll let you know if I'm going to sell so you can stock up for the following rebound...","Re: Perfect storm presents an opportunity?","http://hotcopper.com.au/threads/perfect-storm-presents-an-opportunity.2801439/page-5?post_id=18283815","1077","1","16/07/16","00:05:27","39.0¢","Hold","Held"
"18283816","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","LOM","LOM","JawDropper","http://hotcopper.com.au/search/search?type=post&users=JawDropper","3047","Hard to tell amol7 as it could have been sold in relatively small parcels I guess.$380k might mean less to that buyer than $38k means to either of us or $3k means to someone.I can't rule out it bring a 'trader'.Either way a purchase like that creates interest and FOMO in some minds.Hope we all do well in the end.","Re: Lom Breakout?","http://hotcopper.com.au/threads/lom-breakout.2813119/page-28?post_id=18283816","5826","","16/07/16","00:05:38","41.5¢","None","Held"
"18283818","General","http://hotcopper.com.au/discussions/general/","Automobiles","Automobiles","sierra","http://hotcopper.com.au/search/search?type=post&users=sierra","4549","The hybrids are just complicated compromises.Pure EV's are now showing we don't need to compromise they are so much better in every way.","Re: EV Charging might come to Petrol Stations sooner than u think !!","http://hotcopper.com.au/threads/ev-charging-might-come-to-petrol-stations-sooner-than-u-think.2813373/page-7?post_id=18283818","152","","16/07/16","00:05:53","","",""
"18283819","Political Debate","http://hotcopper.com.au/discussions/politics/","","","Gillysrooms","http://hotcopper.com.au/search/search?type=post&users=Gillysrooms","5774","Abbott should keep sensitive information secret instead of bignotting himself as an expert. He is a FW.","Re: Abbott warns of 'creative' homegrown terrorism","http://hotcopper.com.au/threads/abbott-warns-of-creative-homegrown-terrorism.2813444/page-24?post_id=18283819","1704","4","16/07/16","00:06:35","","",""
"18283817","IPOs","http://hotcopper.com.au/discussions/ipos/","","","fungicide","http://hotcopper.com.au/search/search?type=post&users=fungicide","464","thanks Katavi!","Re: Who picked these top 3 IPOs?","http://hotcopper.com.au/threads/who-picked-these-top-3-ipos.2812355/page-40?post_id=18283817","2599","","16/07/16","00:05:47","","",""
"18283820","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","PSZ","PSZ","sMiRK","http://hotcopper.com.au/search/search?type=post&users=sMiRK","103","Sorry ggg555 you are missing the nasty surprise hidden behind the reports. I bought in at an average price of about 50c so the share price had no hope from then. Should have warned everyone when I did it but it seemed reasonable at the time. Good recommendation from various newsletters. Etc. Etc. Kiss of death stuff as it turned out.Anyway I hold for now. There does not seem to be anything in the books yet to justify the current low price but the price did drop below some newsletter stop losses a while back so there would have been some selling from that. I believe price is forming a floor at around 40c but my saying that probably means its curtains from here. I'll let you know if I'm going to sell so you can stock up for the following rebound...","Re: Perfect storm presents an opportunity?","http://hotcopper.com.au/threads/perfect-storm-presents-an-opportunity.2801439/page-6?post_id=18283820","1077","","16/07/16","00:06:35","39.0¢","Hold","Held"
"18283821","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","WLD","WLD","Chicken4dinner","http://hotcopper.com.au/search/search?type=post&users=Chicken4dinner","266","From Ta perspective this looks like it will drop to 25-30cents in the coming month. Good point of entry","Re: Accumulation","http://hotcopper.com.au/threads/accumulation.2813237/page-7?post_id=18283821","622","","16/07/16","00:06:48","38.5¢","Hold","Not Held"
"18283822","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","TLM","TLM","MC Camma","http://hotcopper.com.au/search/search?type=post&users=MC+Camma","7035","Mirren  sfr at $6.60?!!!!!!Mrs has put her nuts on the line on a placement for cad............ So no free funds.Tbh this market seems very very toppy to me and I would be keeping some bullets handy......","Re: Monty permitting underway","http://hotcopper.com.au/threads/monty-permitting-underway.2812540/page-12?post_id=18283822","972","","16/07/16","00:06:50","44.5¢","Buy","Held"
"18283823","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","NTU","NTU","ausheds","http://hotcopper.com.au/search/search?type=post&users=ausheds","10809","May's export numbers +82% YoY strongly suggest that's already happening plus Lynas lite's of course.ROW RE demand growth quite exceptional on track to match 2006 all time high.Shame HRE priced themselves outta the party.","Re: More lite weight C&P stuff","http://hotcopper.com.au/threads/more-lite-weight-c-p-stuff.2813516/page-5?post_id=18283823","97","","16/07/16","00:06:54","7.1¢","Sell","Not Held"
"18283826","Political Debate","http://hotcopper.com.au/discussions/politics/","","","zurich","http://hotcopper.com.au/search/search?type=post&users=zurich","8097","Remember over 2 years ago when Abbott warned of the threat of militant Islam and the handflappers and twitterati fell over themselves laughing and saying it was a beatup?","Re: Abbott warns of 'creative' homegrown terrorism","http://hotcopper.com.au/threads/abbott-warns-of-creative-homegrown-terrorism.2813444/page-25?post_id=18283826","1704","2","16/07/16","00:07:50","","",""
"18283825","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","CAD","CAD","Sunlight","http://hotcopper.com.au/search/search?type=post&users=Sunlight","12","The boost of SP to 0.6c or above just needs a catalyst: a amazing ann","Re: Muddy Mountain Project Area - Highly Enriched In Lithium","http://hotcopper.com.au/threads/muddy-mountain-project-area-highly-enriched-in-lithium.2809593/page-74?post_id=18283825","11480","","16/07/16","00:07:48","0.4¢","Buy","Held"
"18283824","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","WMN","WMN","ryuzaki","http://hotcopper.com.au/search/search?type=post&users=ryuzaki","426","So what happens if I don't pick that option? Wouldn't the SP be dragged down to $0.001 anyway? Is it not better to pick that option to have my number of shares multiply by 8 if the SP is going to be $0.001 anyway?I'm so confused.","Re: Ann: Prospectus - Renounceable Entitlement Issue-WMN.AX","http://hotcopper.com.au/threads/ann-prospectus-renounceable-entitlement-issue-wmn-ax.2812675/page-6?post_id=18283824","230","","16/07/16","00:06:57","0.4¢","Hold","Held"
"18283828","Lifestyle & Travel","http://hotcopper.com.au/discussions/lifestyle---travel/","","","milo100","http://hotcopper.com.au/search/search?type=post&users=milo100","1142","Another one mum made was a German baked Cheese cake made with Quark and it also had home made vanilla custard in it which gave it a lovely golden colour inside ...... I still have recipe and and sold a lot to a chef bake in the 80's ... so good.","Re: Your favorite CAKE from Childhood?","http://hotcopper.com.au/threads/your-favorite-cake-from-childhood.2812754/page-13?post_id=18283828","382","","16/07/16","00:09:19","","",""
"18283827","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","CM8","CM8","pat_ey","http://hotcopper.com.au/search/search?type=post&users=pat_ey","96","","Re: NEW APP #1 in App Store on launch!","http://hotcopper.com.au/threads/new-app-1-in-app-store-on-launch.2812109/page-14?post_id=18283827","1649","","16/07/16","00:08:23","15.0¢","None","Held"
"18283829","Political Debate","http://hotcopper.com.au/discussions/politics/","","","estate09","http://hotcopper.com.au/search/search?type=post&users=estate09","2860","Why does red get moderated for his references to politicians and oldmate glum get to run with his terminology. Not that I care just a question.","Re: Abbott warns of 'creative' homegrown terrorism","http://hotcopper.com.au/threads/abbott-warns-of-creative-homegrown-terrorism.2813444/page-26?post_id=18283829","1704","","16/07/16","00:09:36","","",""
"18283811","ASX - Short Term Trading","http://hotcopper.com.au/discussions/asx---short---term---trading/","","","Megabucks","http://hotcopper.com.au/search/search?type=post&users=Megabucks","3","Apologies to the girls would like to thank them for all the info they share as well","Re: Short Term Trading Weekend Lounge: 15 - 17 July","http://hotcopper.com.au/threads/short-term-trading-weekend-lounge-15-17-july.2813317/page-117?post_id=18283811","5576","1","16/07/16","00:03:16","","",""
"18283830","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","BLK","BLK","Bars","http://hotcopper.com.au/search/search?type=post&users=Bars","83","yehey!  expect for an SP increase on Monday!","Re: polo","http://hotcopper.com.au/threads/polo.2813478/page-7?post_id=18283830","540","","16/07/16","00:10:17","85.0¢","Buy","Held"
"18283796","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","AUQ","AUQ","mattdamon","http://hotcopper.com.au/search/search?type=post&users=mattdamon","1505","Beauty now we just need a zinc mine.","Re: Zn thru $1.00 now","http://hotcopper.com.au/threads/zn-thru-1-00-now.2813517/page-2?post_id=18283796","57","2","15/07/16","23:56:56","2.6¢","Buy","Held"
"18283749","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","LYC","LYC","greyhounder","http://hotcopper.com.au/search/search?type=post&users=greyhounder","108","Yep sounds like QR out monday and markets says its a goody","Re: Strong Close","http://hotcopper.com.au/threads/strong-close.2813327/page-10?post_id=18283749","1895","1","15/07/16","23:40:34","7.6¢","Buy","Held"
"18283793","ASX - By Stock","http://hotcopper.com.au/discussions/asx---by-stock/","AVL","AVL","kalintihi","http://hotcopper.com.au/search/search?type=post&users=kalintihi","1119","Thanks appreciate it mate.","Re: 8 million on open","http://hotcopper.com.au/threads/8-million-on-open.2812996/page-30?post_id=18283793","4082","1","15/07/16","23:55:19","1.3¢","Buy","Held"
